scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,1,2022,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,172.5585702,-1.52662828
45,1,2023,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,171.8683443,-1.920516984
45,1,2024,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,170.9856203,-2.424257879
45,1,2025,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,170.3274774,-2.799837894
45,1,2026,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,169.5924167,-3.219312311
45,1,2027,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,168.740894,-3.705247673
45,1,2028,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,168.1539714,-4.040184659
45,1,2029,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,167.2380791,-4.562853587
45,1,2030,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,166.5227566,-4.971064077
45,1,2031,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,165.6772706,-5.453554498
45,1,2032,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,164.8604762,-5.919671587
45,1,2033,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,164.286848,-6.247021906
45,1,2034,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,163.3327681,-6.791483213
45,1,2035,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,162.4057519,-7.320500177
45,1,2036,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,161.7859323,-7.674210374
45,1,2037,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,160.964729,-8.142843475
45,1,2038,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,160.3385335,-8.500192183
45,1,2039,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,159.6569219,-8.889164996
45,1,2040,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,159.1090009,-9.201845081
45,1,2041,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,158.4648986,-9.569412598
45,1,2042,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,157.6883945,-10.01253737
45,1,2043,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,157.0585363,-10.37197626
45,1,2044,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,156.2965475,-10.80681763
45,1,2045,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,155.4752764,-11.27548943
45,1,2046,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,154.7526284,-11.68788033
45,1,2047,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,154.0699993,-12.0774338
45,1,2048,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,152.8880825,-12.75191396
45,1,2049,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,152.1547175,-13.1704207
45,1,2050,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,151.4634742,-13.56489
45,1,2051,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,150.5048498,-14.1119447
45,1,2052,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,149.5550431,-14.65396743
45,1,2053,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,149.0323543,-14.95224835
45,1,2054,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,148.3723801,-15.32887343
45,1,2055,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,147.7089466,-15.70747261
45,1,2056,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,146.9895544,-16.11800554
45,1,2057,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,146.4963033,-16.39948735
45,1,2058,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,145.6312148,-16.89316426
45,1,2059,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,144.7145086,-17.41629765
45,1,2060,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,143.5137353,-18.10153859
45,1,2061,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,142.9590314,-18.41808944
45,1,2062,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,142.5684053,-18.64100662
45,1,2063,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,141.8259513,-19.06470014
45,1,2064,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,141.2498135,-19.39348261
45,1,2065,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,140.6139185,-19.75636649
45,1,2066,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,140.0584684,-20.07334318
45,1,2067,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,139.6103914,-20.32904565
45,1,2068,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,138.9341382,-20.71496061
45,1,2069,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,138.3485044,-21.04916212
45,1,2070,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,138.0152615,-21.23933263
45,1,2071,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,137.5976396,-21.4776554
45,1,2072,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,136.9787018,-21.83086239
45,1,2073,0.582,206,0.0221,0.00137,0.761689015,-1,0.882868479,-0.117131521,136.3601709,-22.18383717
